nama_provinsi,kode_kabkota,nama_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
Prov. Jawa Timur,3576,Kota Mojokerto,2010,71.563961,97.124784,9.9672225,648.01177,77.021434
Prov. Jawa Timur,3577,Kota Madiun,2010,71.011616,97.786684,10.426829,640.32001,76.609601
Prov. Jawa Timur,3578,Kota Surabaya,2010,71.014487,98.058146,9.9493254,652.80414,77.279493
Prov. Jawa Timur,3579,Kota Batu,2010,69.443131,98.257137,8.5071521,640.74916,74.453841
Prov. Jawa Timur,3501,Kab. Pacitan,2011,71.48,91.596047,6.9401744,634.70081,72.478551
Prov. Jawa Timur,3502,Kab. Ponorogo,2011,70.24,87.318859,6.9943946,638.24709,71.152517
Prov. Jawa Timur,3503,Kab. Trenggalek,2011,71.87,92.843825,7.255048,640.55735,73.656883
Prov. Jawa Timur,3504,Kab. Tulungagung,2011,71.72,93.578501,7.8460787,635.14939,73.758025
Prov. Jawa Timur,3505,Kab. Blitar,2011,71.09,92.024032,7.36,652.74853,74.058228
Prov. Jawa Timur,3506,Kab. Kediri,2011,69.9,92.836188,7.6924577,632.75194,72.283482
Prov. Jawa Timur,3507,Kab. Malang,2011,69.23,89.585155,7.0152806,639.07287,71.17411
Prov. Jawa Timur,3508,Kab. Lumajang,2011,67.46,86.559797,6.4086151,632.27546,68.545474
Prov. Jawa Timur,3509,Kab. Jember,2011,63.03,83.602524,6.7307357,630.47744,65.527294
Prov. Jawa Timur,3510,Kab. Banyuwangi,2011,67.98,87.356101,6.8897076,635.02159,69.579224
Prov. Jawa Timur,3511,Kab. Bondowoso,2011,63.54,78.247018,5.66175,630.21839,63.808719
Prov. Jawa Timur,3512,Kab. Situbondo,2011,63.36,78.265057,6.1918227,637.51122,64.667155
Prov. Jawa Timur,3513,Kab. Probolinggo,2011,61.42,80.442139,5.8025297,638.17025,63.835575
Prov. Jawa Timur,3514,Kab. Pasuruan,2011,64.31,90.032567,6.5368902,639.72687,68.236217
Prov. Jawa Timur,3515,Kab. Sidoarjo,2011,70.79,97.757348,9.8465254,651.30961,76.89666
Prov. Jawa Timur,3516,Kab. Mojokerto,2011,70.42,94.124291,7.8236021,644.82006,73.885393
Prov. Jawa Timur,3517,Kab. Jombang,2011,70.18,92.869789,7.8381912,640.41583,73.144821
Prov. Jawa Timur,3518,Kab. Nganjuk,2011,69.11,91.072385,7.439106,635.56566,71.481716
Prov. Jawa Timur,3519,Kab. Madiun,2011,69.07,89.546749,7.3936952,627.94254,70.4996
Prov. Jawa Timur,3520,Kab. Magetan,2011,71.41,90.564022,7.600926,640.81625,73.170855
Prov. Jawa Timur,3521,Kab. Ngawi,2011,70.24,85.540606,6.9916601,624.98907,69.734031
Prov. Jawa Timur,3522,Kab. Bojonegoro,2011,67.28,84.812286,6.6780057,620.16554,67.323834
Prov. Jawa Timur,3523,Kab. Tuban,2011,68,85.827066,6.4922244,631.85066,68.711854
Prov. Jawa Timur,3524,Kab. Lamongan,2011,68.37,88.713863,7.4647693,634.91713,70.515541
Prov. Jawa Timur,3525,Kab. Gresik,2011,71.22,94.557065,8.8448875,644.69907,75.173197
Prov. Jawa Timur,3526,Kab. Bangkalan,2011,63.48,82.872308,5.2952009,636.43961,65.010943
Prov. Jawa Timur,3527,Kab. Sampang,2011,63.49,67.559119,4.1973515,636.11689,60.775486
Prov. Jawa Timur,3528,Kab. Pamekasan,2011,64.39,81.819011,6.3164348,629.17602,65.479372
Prov. Jawa Timur,3529,Kab. Sumenep,2011,64.89,78.655554,5.6402124,648.05433,66.00749
Prov. Jawa Timur,3571,Kota Kediri,2011,70.64,97.558632,10.214535,648.0129,76.787814
Prov. Jawa Timur,3572,Kota Blitar,2011,72.51,97.271229,9.7515353,654.17621,77.894646
Prov. Jawa Timur,3573,Kota Malang,2011,70.68,97.23652,10.841305,655.21838,77.757783
Prov. Jawa Timur,3574,Kota Probolinggo,2011,70.52,92.511087,8.5285821,654.52214,74.852037
Prov. Jawa Timur,3575,Kota Pasuruan,2011,66.41,96.429336,8.9611071,656.214,73.890143
Prov. Jawa Timur,3576,Kota Mojokerto,2011,71.78,97.134784,9.9795929,652.46903,77.496193
Prov. Jawa Timur,3577,Kota Madiun,2011,71.22,97.796684,10.436122,644.61325,77.065193
Prov. Jawa Timur,3578,Kota Surabaya,2011,71.27,98.068146,10.076958,657.13854,77.852098
Prov. Jawa Timur,3579,Kota Batu,2011,69.72,98.272137,8.5209525,644.72912,74.927798
Prov. Jawa Timur,3501,Kab. Pacitan,2012,71.69,91.63161,6.9638163,638.08715,72.881491
Prov. Jawa Timur,3502,Kab. Ponorogo,2012,70.402497,88.991352,7.1797936,640.3007,71.909985
Prov. Jawa Timur,3503,Kab. Trenggalek,2012,72.13,92.883432,7.3086542,643.71387,74.092991
Prov. Jawa Timur,3504,Kab. Tulungagung,2012,71.95,94.57258,7.9542751,638.52606,74.446967
Prov. Jawa Timur,3505,Kab. Blitar,2012,71.3,92.054942,7.401948,655.56741,74.429981
Prov. Jawa Timur,3506,Kab. Kediri,2012,70.15,92.870411,7.7164744,636.2766,72.719278
Prov. Jawa Timur,3507,Kab. Malang,2012,69.5,90.729688,7.0783298,643.20071,71.94313
Prov. Jawa Timur,3508,Kab. Lumajang,2012,67.75,86.578139,6.4322597,635.75609,68.996296
Prov. Jawa Timur,3509,Kab. Jember,2012,63.21,83.654898,6.7921655,634.48286,65.992982
Prov. Jawa Timur,3510,Kab. Banyuwangi,2012,68.38,88.078719,7.253162,638.95368,70.534151
Prov. Jawa Timur,3511,Kab. Bondowoso,2012,63.85,80.724458,5.9443624,633.33,64.980519
Prov. Jawa Timur,3512,Kab. Situbondo,2012,63.52,78.306719,6.2160092,641.12297,65.061439
Prov. Jawa Timur,3513,Kab. Probolinggo,2012,61.7,80.481093,5.9164009,641.64459,64.351772
Prov. Jawa Timur,3514,Kab. Pasuruan,2012,64.61,91.170897,6.8287869,643.58566,69.169316
Prov. Jawa Timur,3515,Kab. Sidoarjo,2012,71.03,97.789635,9.9230413,654.80965,77.363461
Prov. Jawa Timur,3516,Kab. Mojokerto,2012,70.64,94.164343,7.9435161,648.895,74.419242
Prov. Jawa Timur,3517,Kab. Jombang,2012,70.28,93.874713,8.0419126,644.06443,73.855656
Prov. Jawa Timur,3518,Kab. Nganjuk,2012,69.33,91.10855,7.606629,638.42093,71.956013
Prov. Jawa Timur,3519,Kab. Madiun,2012,69.25,89.60573,7.4440648,630.88948,70.877027
Prov. Jawa Timur,3520,Kab. Magetan,2012,71.66,91.075403,7.8467317,643.9661,73.848102
Prov. Jawa Timur,3521,Kab. Ngawi,2012,70.57,85.576713,7.0152944,628.38117,70.204196
Prov. Jawa Timur,3522,Kab. Bojonegoro,2012,67.42,84.846833,6.7236408,624.05,67.742321
Prov. Jawa Timur,3523,Kab. Tuban,2012,68.21,85.856454,6.5291557,635.9446,69.177773
Prov. Jawa Timur,3524,Kab. Lamongan,2012,68.55,88.756501,7.594558,639.15366,71.047504
Prov. Jawa Timur,3525,Kab. Gresik,2012,71.47,96.174773,8.9816423,647.30532,75.973641
Prov. Jawa Timur,3526,Kab. Bangkalan,2012,63.65,82.902901,5.7359583,639.67306,65.687752
Prov. Jawa Timur,3527,Kab. Sampang,2012,63.98,69.117824,4.221361,639.42862,61.666981
Prov. Jawa Timur,3528,Kab. Pamekasan,2012,64.79,84.212221,6.3174713,632.75793,66.510109
Prov. Jawa Timur,3529,Kab. Sumenep,2012,65.07,78.70627,5.705337,651.20997,66.410087
Prov. Jawa Timur,3571,Kota Kediri,2012,70.86,97.59583,10.238142,651.37822,77.195027
Prov. Jawa Timur,3572,Kota Blitar,2012,72.8,97.313794,9.7748002,657.08827,78.306771
Prov. Jawa Timur,3573,Kota Malang,2012,71.019674,98.338766,10.871305,658.02193,78.42962
Prov. Jawa Timur,3574,Kota Probolinggo,2012,70.86,92.55416,8.6732488,658.14199,75.436503
Prov. Jawa Timur,3575,Kota Pasuruan,2012,66.46,97.070571,9.0545172,658.81292,74.32981
Prov. Jawa Timur,3576,Kota Mojokerto,2012,72,97.178344,10.105643,656.18309,78.007568
Prov. Jawa Timur,3577,Kota Madiun,2012,71.42,97.837644,10.460309,648.46398,77.499953
Prov. Jawa Timur,3578,Kota Surabaya,2012,71.53,98.354939,10.100869,660.37673,78.327431
Prov. Jawa Timur,3579,Kota Batu,2012,70,98.31837,8.539741,648.74107,75.416594
