nama_provinsi,kode_kabkota,nama_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
Prov. Jawa Timur,3525,Kab. Gresik,2005,69.8,92.6,8.08,622.06523,71.64
Prov. Jawa Timur,3526,Kab. Bangkalan,2005,62,74.8,5.01,611.25112,60.24
Prov. Jawa Timur,3527,Kab. Sampang,2005,59.84,61.8,3.58,609.72317,54.98
Prov. Jawa Timur,3528,Kab. Pamekasan,2005,62.2,79.5,5.52,611.26473,61.78
Prov. Jawa Timur,3529,Kab. Sumenep,2005,63.432102,73.9,4.88,617.04172,61.19
Prov. Jawa Timur,3571,Kota Kediri,2005,69.27,96.8,9.17,623.77925,73.22
Prov. Jawa Timur,3572,Kota Blitar,2005,70.95,95.37,9.27,639.23743,75.1
Prov. Jawa Timur,3573,Kota Malang,2005,68.56,95.9,9.41,637.40854,73.85
Prov. Jawa Timur,3574,Kota Probolinggo,2005,68.6,88.7,7.98,638.70506,71.31
Prov. Jawa Timur,3575,Kota Pasuruan,2005,65.95,95.6,8.5,634.61778,71.44
Prov. Jawa Timur,3576,Kota Mojokerto,2005,70.57,95.29,9.35,635.519,74.64
Prov. Jawa Timur,3577,Kota Madiun,2005,70,96,9.95,621.9538,73.88
Prov. Jawa Timur,3578,Kota Surabaya,2005,69.47,96.48,9.71,635.98345,74.6
Prov. Jawa Timur,3579,Kota Batu,2005,68.05,94.9,8,620.47925,71
Prov. Jawa Timur,3501,Kab. Pacitan,2006,70.4,89.191938,6.6320772,617.29547,69.775315
Prov. Jawa Timur,3502,Kab. Ponorogo,2006,68.7,80.458205,6.3709727,622.90225,67.128532
Prov. Jawa Timur,3503,Kab. Trenggalek,2006,70.6,92.263644,7.052897,621.65963,71.216926
Prov. Jawa Timur,3504,Kab. Tulungagung,2006,70.5,89.706974,7.1053483,622.54237,70.700074
Prov. Jawa Timur,3505,Kab. Blitar,2006,70,91.043962,7.0892926,640.00961,72.053049
Prov. Jawa Timur,3506,Kab. Kediri,2006,68.7,90.687849,7.0094436,615.96174,69.340086
Prov. Jawa Timur,3507,Kab. Malang,2006,67.9,88.843408,6.6551175,618.12777,68.390156
Prov. Jawa Timur,3508,Kab. Lumajang,2006,66,86.27822,5.9,614.11555,65.896142
Prov. Jawa Timur,3509,Kab. Jember,2006,62.1,82.83952,6.2885081,611.35755,63.040649
Prov. Jawa Timur,3510,Kab. Banyuwangi,2006,66,85.925038,6.6818108,619.38929,66.803023
Prov. Jawa Timur,3511,Kab. Bondowoso,2006,62,74.3,5.2,612.33826,60.356667
Prov. Jawa Timur,3512,Kab. Situbondo,2006,62.5,76.987635,5.4,617.61892,61.786625
Prov. Jawa Timur,3513,Kab. Probolinggo,2006,60,77.709178,4.983634,622.56429,60.630612
Prov. Jawa Timur,3514,Kab. Pasuruan,2006,62.8,88.125163,6.1649941,621.40762,65.286812
Prov. Jawa Timur,3515,Kab. Sidoarjo,2006,69.6,97.370105,9.4885435,633.82596,74.53752
Prov. Jawa Timur,3516,Kab. Mojokerto,2006,69.3,91.94,7.1652872,623.01472,70.610421
Prov. Jawa Timur,3517,Kab. Jombang,2006,69.7,89.42969,7.4,620.91975,70.287278
Prov. Jawa Timur,3518,Kab. Nganjuk,2006,68,89.180053,6.8306324,615.78437,68.470015
Prov. Jawa Timur,3519,Kab. Madiun,2006,68.2,85.51969,6.7196586,616.60582,67.748787
Prov. Jawa Timur,3520,Kab. Magetan,2006,70.2,89.8,7.1932054,621.59612,70.546267
Prov. Jawa Timur,3521,Kab. Ngawi,2006,68.6,80.91,6.1,609.70956,65.956394
Prov. Jawa Timur,3522,Kab. Bojonegoro,2006,66.6,84.546592,6.3904588,597.53171,64.930484
Prov. Jawa Timur,3523,Kab. Tuban,2006,66.9,84.949067,6.0928825,616.8914,66.457481
Prov. Jawa Timur,3524,Kab. Lamongan,2006,67.5,85.61024,6.7567803,616.57942,67.405484
Prov. Jawa Timur,3525,Kab. Gresik,2006,70,94.03926,8.4004208,624.72289,72.512309
Prov. Jawa Timur,3526,Kab. Bangkalan,2006,62.7,82.755445,5,615.45712,62.716647
Prov. Jawa Timur,3527,Kab. Sampang,2006,60.4,64.118086,3.7728616,613.91865,56.269731
Prov. Jawa Timur,3528,Kab. Pamekasan,2006,62.4,79.452316,5.5,612.80266,61.981844
Prov. Jawa Timur,3529,Kab. Sumenep,2006,64,78.61669,4.9,623.71731,63.081372
Prov. Jawa Timur,3571,Kota Kediri,2006,69.5,96.8,9.2,626.65187,73.588903
Prov. Jawa Timur,3572,Kota Blitar,2006,71.1,96.781116,9.2972103,640.08845,75.580652
Prov. Jawa Timur,3573,Kota Malang,2006,68.9,96.868438,10.8,638.15242,75.341876
Prov. Jawa Timur,3574,Kota Probolinggo,2006,68.8,88.7,8,639.55538,71.50511
Prov. Jawa Timur,3575,Kota Pasuruan,2006,66.2,95.6,8.5437895,639.34072,71.98027
Prov. Jawa Timur,3576,Kota Mojokerto,2006,70.7,96.765642,9.4814422,635.7151,75.15457
Prov. Jawa Timur,3577,Kota Madiun,2006,70.2,96,10,626.11428,74.351196
Prov. Jawa Timur,3578,Kota Surabaya,2006,69.8,96.48,9.7157792,640.15783,75.10691
Prov. Jawa Timur,3579,Kota Batu,2006,68.3,94.9,8,624.55187,71.449358
Prov. Jawa Timur,3501,Kab. Pacitan,2007,70.67,91.54,6.63,617.69,70.48
Prov. Jawa Timur,3502,Kab. Ponorogo,2007,69.06,84.93,6.46,624.99,68.55
Prov. Jawa Timur,3503,Kab. Trenggalek,2007,70.91,92.26,7.05,625.43,71.68
Prov. Jawa Timur,3504,Kab. Tulungagung,2007,70.8,93.47,7.5,622.6,72
Prov. Jawa Timur,3505,Kab. Blitar,2007,70.25,91.04,7.09,641.14,72.28
Prov. Jawa Timur,3506,Kab. Kediri,2007,68.99,92.47,7.45,618.07,70.39
Prov. Jawa Timur,3507,Kab. Malang,2007,68.22,89.17,6.66,623.6,69.07
Prov. Jawa Timur,3508,Kab. Lumajang,2007,66.35,86.28,5.9,615.5,66.2
Prov. Jawa Timur,3509,Kab. Jember,2007,62.33,82.84,6.29,612.62,63.27
Prov. Jawa Timur,3510,Kab. Banyuwangi,2007,66.45,86.46,6.68,620.31,67.24
Prov. Jawa Timur,3511,Kab. Bondowoso,2007,62.36,74.3,5.2,614.93,60.76
Prov. Jawa Timur,3512,Kab. Situbondo,2007,62.72,78.16,5.68,621.06,62.64
Prov. Jawa Timur,3513,Kab. Probolinggo,2007,60.33,77.71,5,624.46,60.97
Prov. Jawa Timur,3514,Kab. Pasuruan,2007,63.15,88.13,6.16,621.95,65.52
Prov. Jawa Timur,3515,Kab. Sidoarjo,2007,69.89,97.37,9.49,636.02,74.87
Prov. Jawa Timur,3516,Kab. Mojokerto,2007,69.58,94.07,7.67,628,71.99
Prov. Jawa Timur,3517,Kab. Jombang,2007,69.85,92.48,7.48,625.25,71.44
Prov. Jawa Timur,3518,Kab. Nganjuk,2007,68.27,90.44,6.83,620.3,69.25
Prov. Jawa Timur,3519,Kab. Madiun,2007,68.43,87.1,6.72,616.8,68.24
Prov. Jawa Timur,3520,Kab. Magetan,2007,70.5,89.8,7.19,627.98,71.2
Prov. Jawa Timur,3521,Kab. Ngawi,2007,68.99,85.1,6.14,614.81,67.52
Prov. Jawa Timur,3522,Kab. Bojonegoro,2007,66.79,84.55,6.39,603.59,65.5
Prov. Jawa Timur,3523,Kab. Tuban,2007,67.17,84.95,6.09,616.9,66.61
Prov. Jawa Timur,3524,Kab. Lamongan,2007,67.73,86.6,6.76,618.25,67.88
Prov. Jawa Timur,3525,Kab. Gresik,2007,70.3,94.04,8.4,628.92,73
Prov. Jawa Timur,3526,Kab. Bangkalan,2007,62.9,82.76,5,617.33,62.97
Prov. Jawa Timur,3527,Kab. Sampang,2007,61.11,64.12,3.77,618.21,56.99
Prov. Jawa Timur,3528,Kab. Pamekasan,2007,62.7,79.45,5.72,615.05,62.49
Prov. Jawa Timur,3529,Kab. Sumenep,2007,64.23,78.62,4.9,630.2,63.71
