nama_provinsi,kode_kabkota,nama_kabkota,tahun,indikator_ipm,satuan,nilai
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2012,"IPM","Tanpa Satuan",70.09
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2004,"Angka Harapan Hidup","Tahun",63
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2004,"Angka Melek Huruf","Persen",96.22
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2004,"Rata-rata Lama Sekolah","Tahun",7.67
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2004,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",588.2
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2004,"IPM","Tanpa Satuan",65.76
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,"Angka Harapan Hidup","Tahun",63.16
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,"Angka Melek Huruf","Persen",96.2
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,"Rata-rata Lama Sekolah","Tahun",7.7
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",595.92
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,"IPM","Tanpa Satuan",66.45
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,"Angka Harapan Hidup","Tahun",64
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,"Angka Melek Huruf","Persen",96.2
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,"Rata-rata Lama Sekolah","Tahun",7.7
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",599.1
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,"IPM","Tanpa Satuan",67.17
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,"Angka Harapan Hidup","Tahun",64.27
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,"Angka Melek Huruf","Persen",96.2
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,"Rata-rata Lama Sekolah","Tahun",7.7
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",607.59
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,"IPM","Tanpa Satuan",67.97
