70,83.1,6,615.5,77.4
67.5,78.7,6,620.7,67.6
69.9,89.1,6.5,617.4,65.6
70.3,88.5,6.9,619.7,69.4
69,85.8,6.3,636.1,69.9
68.4,88.6,6.5,613.7,69.4
67,83.9,6.5,615,68.2
65.7,79.8,5.7,612.5,66.4
61.1,79.1,5.4,609.8,64
64.9,84.3,6.3,616.5,60.9
60.7,73.7,5,608.1,65.3
61.7,72.4,5.1,615.5,59
59.6,74.4,4.9,616,59.9
62.2,84.4,6.2,615.2,59.1
68.8,96.6,9.3,627.7,63.7
68.3,91.1,7.1,619.1,73.3
68.4,87.6,7.2,616.8,69.5
67.5,85.8,6.6,613.9,68.7
67.5,82.3,6.4,615.8,67.2
69.9,89.8,7.2,613.6,66.3
67.5,80.1,5.9,601.8,69.8
66.3,81,5.9,592.3,64.4
66.1,78.7,5.5,609.5,63.2
67.2,84,6.6,614.4,63.6
69.2,91.8,7.8,620.1,66.6
61.6,73.6,4.8,609.4,70.8
59.2,61.3,3.4,606.7,59.5
61.7,79.3,5.4,609.3,54.2
62.9,73.3,4.7,615.7,61.2
69.1,96.5,9,620.3,60.5
70.5,95,9.1,639,72.7
67.8,95.5,9.3,636.6,74.6
68.1,88,7.8,635.7,73.2
65.4,95.4,8.4,631.6,70.5
70.5,94.9,9.2,632.9,70.8
69.9,95.9,9.8,619.6,74.2
69.2,96.1,9.6,631,73.5
67.3,94.3,7.9,614.8,73.9
70.3,83.9,6.1,616.3,77.7
68.2,79.5,6.2,622.5,68.1
70.4,90.2,6.7,619.4,66.5
70.4,89.2,7.1,621.9,70.2
69.9,86.2,6.5,638.5,70.5
68.5,89.3,6.6,615.9,70.3
67.2,84.4,6.7,616.8,68.7
65.9,80.5,5.9,613.3,66.9
61.7,80.6,5.6,610.6,64.5
65.6,84.7,6.4,618.4,61.7
61.5,74.3,5.2,609.6,66
61.8,72.6,5.2,617,59.9
60,75,5.1,618.1,60.2
62.3,85.1,6.4,617,59.8
69.1,97.3,9.5,630,64.2
68.9,91.9,7.2,621.1,74
69,88.2,7.4,618.5,70.3
67.6,86.5,6.8,614.1,69.4
67.9,83.2,6.6,616.5,67.5
70.1,89.8,7.2,614.3,66.9
68.2,80.9,6.1,602.6,69.9
66.5,81.4,6.1,593.2,65.2
66.5,79.4,5.6,611.4,63.6
67.4,84.7,6.7,613.1,64.2
69.8,92.6,8.1,622.1,66.9
62,74.8,5,611.3,71.6
59.8,61.8,3.6,609.7,60.2
62.2,79.5,5.5,611.3,55
63.4,73.9,4.9,617,61.8
69.3,96.8,9.2,623.8,61.2
71,95.4,9.3,639.2,73.2
68.6,95.9,9.4,637.4,75.1
68.6,88.7,8,638.7,73.9
66,95.6,8.5,634.6,71.3
70.6,95.3,9.4,635.5,71.4
70,96,10,622,74.6
69.5,96.5,9.7,636,73.9
68.1,94.9,8,620.5,74.6
70.4,89.2,6.6,617.3,77.8
68.7,80.5,6.4,622.9,69.8
70.6,92.3,7.1,621.7,67.1
70.5,89.7,7.1,622.5,71.2
70,91,7.1,640,70.7
68.7,90.7,7,616,72.1
67.9,88.8,6.7,618.1,69.3
66,86.3,5.9,614.1,68.4
62.1,82.8,6.3,611.4,65.9
66,85.9,6.7,619.4,63
62,74.3,5.2,612.3,66.8
62.5,77,5.4,617.6,60.4
60,77.7,5,622.6,61.8
62.8,88.1,6.2,621.4,60.6
69.6,97.4,9.5,633.8,65.3
69.3,91.9,7.2,623,74.5
69.7,89.4,7.4,620.9,70.6
68,89.2,6.8,615.8,70.3
68.2,85.5,6.7,616.6,68.5
70.2,89.8,7.2,621.6,67.7
68.6,80.9,6.1,609.7,70.5
66.6,84.5,6.4,597.5,66
66.9,84.9,6.1,616.9,64.9
67.5,85.6,6.8,616.6,66.5
70,94,8.4,624.7,67.4
62.7,82.8,5,615.5,72.5
60.4,64.1,3.8,613.9,62.7
62.4,79.5,5.5,612.8,56.3
64,78.6,4.9,623.7,62
69.5,96.8,9.2,626.7,63.1
71.1,96.8,9.3,640.1,73.6
68.9,96.9,10.8,638.2,75.6
68.8,88.7,8,639.6,75.3
66.2,95.6,8.5,639.3,71.5
70.7,96.8,9.5,635.7,72
70.2,96,10,626.1,75.2
69.8,96.5,9.7,640.2,74.4
68.3,94.9,8,624.6,75.1
70.7,91.5,6.6,617.7,78.1
69.1,84.9,6.5,625,70.5
70.9,92.3,7.1,625.4,68.6
70.8,93.5,7.5,622.6,71.7
70.3,91,7.1,641.1,72
69,92.5,7.5,618.1,72.3
68.2,89.2,6.7,623.6,70.4
66.4,86.3,5.9,615.5,69.1
62.3,82.8,6.3,612.6,66.2
66.5,86.5,6.7,620.3,63.3
62.4,74.3,5.2,614.9,67.2
62.7,78.2,5.7,621.1,60.8
60.3,77.7,5,624.5,62.6
63.2,88.1,6.2,622,61
69.9,97.4,9.5,636,65.5
69.6,94.1,7.7,628,74.9
69.9,92.5,7.5,625.3,72
68.3,90.4,6.8,620.3,71.4
